Team,HRY,SK,YPP,FGP,TMT,DYPP,POFC
Arizona Cardinals,52,28,5.5,88.6,20,6,0
Atlanta Falcons,58,44,5.5,80,14,5.8,0
Baltimore Ravens,57,53,6.1,96.6,43,5.2,1
Buffalo Bills,80,32,5.2,78.6,15,4.8,1
Carolina Panthers,50,31,5.1,78.1,2,5.8,0
Chicago Bears,62,38,4.7,82.1,9,5.1,1
Cincinnati Bengals,55,41,4.9,87.1,-3,6.1,0
Cleveland Browns,52,40,5.6,86.2,9,5.7,0
Dallas Cowboys,61,39,6.5,75,30,5.2,0
Denver Broncos,62,40,5,85.3,11,5.4,1
Detroit Lions,53,28,5.4,83.9,12,5.9,0
Green Bay Packers,46,41,5.4,91.7,31,5.7,1
Houston Texans,44,31,5.7,80,22,6.1,1
Indianapolis Colts,46,47,5.2,71,18,5.6,0
Jacksonville Jaguars,49,45,5.4,97.1,7,6,0
Kansas City Chiefs,35,23,6.2,89.5,31,5.4,1
Los Angeles Chargers,54,48,5.9,76.5,5,5.4,0
Los Angeles Rams,82,51,5.7,72.7,18,5.1,1
Miami Dolphins,58,47,4.9,76.7,6,6,0
Minnesota Vikings,56,36,5.8,93.1,25,5.2,1
New England Patriots,50,35,5.2,79.4,27,4.7,1
New Orleans Saints,72,43,5.9,88.9,40,5.3,1
New York Giants,55,43,5.4,70.6,8,5.7,0
New York Jets,70,54,4.6,67.9,0,5,0
Oakland Raiders,58,32,5.9,73.1,18,5.9,0
Philadelphia Eagles,92,50,5.2,84.6,20,5.5,1
Pittsburgh Steelers,44,37,4.7,93.5,-5,4.7,1
San Francisco 49ers,64,30,6,76.9,28,4.7,1
Seattle Seahawks,60,28,5.7,82.1,26,6,1
Tampa Bay Buccaneers,88,48,5.9,77.1,7,5.1,0
Tennessee Titans,62,47,6.1,44.4,33,5.4,1
Washington Redskins,83,46,5,83.3,6,5.7,0
